order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,2655,Pending,1/9/2018,4/19/2020,1/9/2018,34,112
2,209,Shipped,7/11/2020,10/25/2021,7/11/2020,2,8
3,7346,Pending,3/12/2019,11/3/2021,3/12/2019,2,136
4,6613,Pending,1/25/2020,6/2/2023,1/25/2020,20,130
5,9981,Cancelled,7/18/2021,6/30/2018,7/18/2021,19,78
6,1783,Pending,4/25/2018,11/17/2018,4/25/2018,24,167
7,6110,Pending,4/29/2020,4/2/2018,4/29/2020,9,167
8,4448,Shipped,10/15/2019,3/10/2019,10/15/2019,39,7
9,8312,Shipped,12/3/2018,7/31/2019,12/3/2018,5,121
10,3885,Pending,11/10/2018,10/15/2023,11/10/2018,18,107
11,2056,Shipped,7/30/2022,10/4/2021,7/30/2022,37,100
12,7478,Pending,1/5/2021,5/31/2020,1/5/2021,28,189
13,7722,Pending,9/23/2023,1/2/2022,9/23/2023,48,59
14,8073,Pending,11/1/2023,6/27/2018,11/1/2023,38,71
15,6384,Shipped,7/12/2018,10/17/2023,7/12/2018,1,96
16,9816,Shipped,12/7/2019,6/17/2023,12/7/2019,15,123
17,9574,Shipped,5/10/2021,3/26/2020,5/10/2021,50,156
18,839,Cancelled,3/19/2020,11/3/2020,3/19/2020,33,158
19,4600,Cancelled,7/20/2021,8/1/2020,7/20/2021,13,157
20,2563,Pending,7/8/2021,2/21/2022,7/8/2021,40,64
21,1635,Pending,8/27/2018,3/30/2023,8/27/2018,6,16
22,2356,Pending,4/9/2019,2/23/2019,4/9/2019,48,91
23,1574,Shipped,10/22/2019,5/5/2018,10/22/2019,46,53
24,615,Pending,7/14/2022,10/20/2022,7/14/2022,2,103
25,670,Shipped,3/17/2021,2/15/2020,3/17/2021,16,178
26,9348,Shipped,1/31/2022,4/5/2023,1/31/2022,20,51
27,5471,Cancelled,2/16/2022,2/5/2021,2/16/2022,20,33
28,1740,Cancelled,4/27/2019,10/25/2019,4/27/2019,19,92
29,2830,Cancelled,3/28/2023,12/30/2022,3/28/2023,47,82
30,5568,Pending,9/2/2020,3/26/2018,9/2/2020,39,126
31,959,Shipped,3/20/2021,2/3/2023,3/20/2021,4,106
32,817,Cancelled,12/27/2021,10/13/2022,12/27/2021,33,34
33,8080,Pending,7/12/2023,9/21/2021,7/12/2023,6,155
34,6068,Pending,1/31/2020,6/3/2022,1/31/2020,21,179
35,324,Shipped,12/24/2019,7/7/2021,12/24/2019,48,130
36,7315,Shipped,9/11/2018,7/6/2021,9/11/2018,21,16
37,6749,Shipped,4/25/2020,3/22/2020,4/25/2020,29,52
38,9916,Pending,9/2/2023,2/4/2023,9/2/2023,42,99
39,5591,Cancelled,7/10/2022,2/10/2020,7/10/2022,41,31
40,1875,Shipped,3/19/2023,8/21/2021,3/19/2023,29,146
41,5480,Shipped,10/4/2018,1/28/2023,10/4/2018,35,51
42,8330,Shipped,12/15/2023,11/17/2022,12/15/2023,13,143
43,2597,Pending,11/18/2022,6/17/2020,11/18/2022,26,158
44,8398,Cancelled,5/24/2019,11/20/2023,5/24/2019,38,55
45,9886,Pending,5/15/2022,1/2/2020,5/15/2022,43,13
46,5570,Shipped,1/9/2022,6/21/2021,1/9/2022,16,111
47,7851,Shipped,12/7/2021,10/21/2020,12/7/2021,17,23
48,1107,Shipped,7/31/2020,2/13/2023,7/31/2020,13,20
49,4031,Cancelled,5/29/2018,4/26/2020,5/29/2018,18,3
50,4978,Cancelled,10/28/2018,11/26/2019,10/28/2018,44,114
51,1462,Pending,2/25/2022,11/15/2021,2/25/2022,10,172
52,2306,Shipped,10/10/2021,12/24/2019,10/10/2021,38,108
53,9894,Pending,5/15/2021,4/12/2021,5/15/2021,20,103
